Q,A,label
개인적인 업무까지 다 시켜,공적인 일부터 하세요.,0
개인적인 일도 다 시켜,공적인 일부터 하세요.,0
개졸려,낮잠을 잠깐 자도 괜찮아요.,0
개좋아,저도 좋아해주세요.,0
걱정 없이 살고파,누구나 걱정은 있어요.,0
걱정 좀 없이 살고 싶다.,누구나 걱정은 있어요.,0
건강 관리,운동을 해보세요.,0
건강 빨리 회복해야지,세상의 무엇보다 건강이 제일 중요해요.,0
건강검진 왔어,주기적으로 해주는 게 좋죠.,0
건강검진하러 옴,주기적으로 해주는 게 좋죠.,0
건강이 최고,가장 중요한 목표네요.,0
건강이 최고인 것 같아,가장 중요한 목표네요.,0
건강하게 다이어트 하는 방법,적게 먹고 많이 움직이세요.,0
건강한 다이어트법,적게 먹고 많이 움직이세요.,0
건방져,기분이 나쁘셨나봐요.,0
걸어 가고 있는데 깜깜해서 무서워,안전 귀가 하세요.,0
겁난다,용기 내보세요.,0
게으른 동료가 있어,피해를 안 준다면 무시하세요.,0
게임 같이 하자고 할까?,안 될 것도 없죠.,0
게임 때문에 시간 다갔어,게임할때는 시간이 더 빨리 가요.,0
게임 때문에 폰이 점점 느려지는듯,정리해보세요.,0
게임 재미있어.,게임하세요!,0
게임 지겨워,다른 게임해보세요.,0
게임도 이제 재미없어,다른 게임해보세요.,0
게임하고 싶어,게임하세요!,0
게임하다 시간 다갔어,게임할때는 시간이 더 빨리 가요.,0
겨울 지나 봄이야,마음에도 봄이 오길 바라요.,0
겨울에는 온천이지!,몸은 뜨겁고 머리는 차갑게!,0
겨울이 가고 봄이 올거야,마음에도 봄이 오길 바라요.,0
격려 좀 해줘,잘하실 거예요!,0
격려가 필요해.,잘하실 거예요!,0
견과류 챙겨 먹어야지.,건강 생각해서 챙겨드세요.,0
결국 이런 운명이라니 슬프다,좋은 운명도 있을거예요.,0
결정 못하겠어.,결정하기 힘드시겠네요.,0
결정은 빠르면 빠를 수록 좋겠지?,자신을 위한 결정을 내리길 바라요.,0
결정은 빠를수록 좋겠지?,자신을 위한 결정을 내리길 바라요.,0
결정을 못 내리겠어. 어떻해,결정은 빠르면 빠를수록 좋을 거예요.,0
결정적인 물증이 없어,안타깝네요. 증거를 지금이라도 모아봐요.,0
경쟁이 너무 치열해,점점 치열해지는 것 같아요.,0
계속 공부해도 될까,확신이 없나봐요.,0
계속 도전하는 거 귀찮아,안정적인 걸 좋아하나봐요.,0
계속 방학이면 좋을텐데,방학은 참 짧아요.,0
계속 속이 진짜 안 좋아,계속 좋지 않으면 병원에 가보세요.,0
계속 한숨만 나와,뇌세포에 에너지를 공급하려는 자연스러운 현상이에요. 에너지가 부족한가봐요.,0
고민 있어,네 말씀하세요.,0
고민 좀 들어줄래,네 말씀하세요.,0
고양이 동영상 보는 중,완전 귀엽죠?,0
고양이 키우고 싶어,자신을 먼저 키우세요.,0
고양이 키우고 싶어,가족들과 상의해보세요.,0
고의는 아닌데 실수를 한 거 같아,용서를 구하세요.,0
고집 센 사람,피할 수 있으면 피하세요.,0
고집하고는,피할 수 있으면 피하세요.,0
공부 계속해도 될까,지금처럼 잘될 거예요.,0
공부 꼭 해야 할까,미래의 배우자가 달라져요.,0
공부 때려치워야 하나,확신이 없나봐요.,0
공부 시작해도 될까,공부는 언제나 좋죠.,0
공부 왜 해야 돼?,공부하면 더 많은 선택을 할 수 있죠.,0
공부 잘 안돼,같이 수다 떨면서 놀까요?,0
공부 잘하고 싶어,나만의 공부방법을 찾아보세요.,0
공부 좀 더 할 걸,지금도 늦지 않았어요.,0
공부 하기 싫다,같이 수다 떨면서 놀까요?,0
공부는 내 체질이 아닌 것 같아,확신이 없나봐요.,0
공부로 먹고 살 수 있을까,지금처럼 잘될 거예요.,0
공부방법이 잘못된걸까?,나한테 맞는 공부 방법 찾는 게 시급하네요.,0
공부하기 싫어,잠시 쉬어도 돼요.,0
공부하기 싫은 날,잠시 쉬어도 돼요.,0
공부하는 낙이 없어,공부하면 더 많은 선택을 할 수 있죠.,0
공부하는 이유?,공부하면 더 많은 선택을 할 수 있죠.,0
공부하는 이유가 없어,공부하면 더 많은 선택을 할 수 있죠.,0
공시 준비 힘들어,합격 기원해요!,0
공시 준비 힘들어,잘 될 거예요.,0
공시 준비중,좋은 결과 있을 거예요!,0
공시 준비하는데 힘들다,잘 될 거예요.,0
공시생이야,좋은 결과 있을 거예요!,0
공책 필기 나만 힘들어?,성향 차이가 좀 있기는 하죠.,0
공황장애 생겼어.,꾸준히 약 먹고 치료해보세요.,0
공황장애 있어,꾸준히 약 먹고 치료해보세요.,0
공휴일에는 집이 최고,피로 풀고 좋죠.,0
공휴일에는 집콕,피로 풀고 좋죠.,0
과거는 잊고 앞으로 나아 가야지,오늘이 중요하죠.,0
과거는 중요하지 않아,오늘이 중요하죠.,0
과식해서 소화가 안돼,소화제 챙겨드세요.,0
과식했나 봐,과식은 금물이에요.,0
과식했다,소화제 드세요.,0
과외비 부담되겠지?,안된다고 하면 거짓말이겠지요.,0
과외비 비싸?,안된다고 하면 거짓말이겠지요.,0
과일 먹고 자야지,제철과일이 정말 좋아요.,0
과일 먹어야지.,건강 생각해서 챙겨드세요.,0
과일 안 먹게 돼,그래도 먹으려고 노력해보세요.,0
과일 잘 안 먹게 돼,그래도 먹으려고 노력해보세요.,0
과일 챙겨 먹어야지,제철과일이 정말 좋아요.,0
관심 끄라고 하고 싶다.,무관심이 필요할 때가 있죠.,0
관심 좀 안 가졌으면,무관심이 필요할 때가 있죠.,0
괜찮아지고 있어,괜찮아지고 있어 다행이에요.,0
괜히 건들지 말라고,많이 지쳤나봐요.,0
구박하면서 엄청 일 시켜,일을 몰라서 그런가봐요.,0
굿모닝,좋은 아침이에요.,0
궁금하면 오백원,자세히 말씀해주세요.,0
궁금하지?,자세히 말씀해주세요.,0
궁금해,자세히 말씀해주세요.,0
궁금해 알려줘,자세히 말씀해주세요.,0
그냥 내버려 둬 주었으면,아무도 없는 곳으로 여행을 떠나보세요.,0
그냥 쉬고 싶다,잠깐 바람 쐬고 오세요.,0
그냥 이렇게 살고 싶어,살고 싶은대로 사세요.,0
그냥 자는 거 아니지?,많이 피곤한가봐요.,0
그냥 잘못했다고 하면 될거 같은데 자꾸 변명해,피할 수 있으면 피하세요.,0
그냥 택시 타야지.,조심히 오세요.,0
그냥 할까?,실천이 말보다 낫죠.,0
그냥 혼자 밥이나 먹어야지,밥심으로 사는 거죠.,0
그냥 혼자 있는게 좋아,혼자만 있지 마세요.,0
그동안 잘 지냈나요?,안부를 물어주시다니 감사합니다.,0
그땐 그랬지,추억에 잠길 때도 필요해요.,0
그래 그러자,괜찮은 선택이길 바라요.,0
그래 이제 결정했어,좋은 결과 있을 거예요.,0
그래도 좀 기대했는데,기쁜 마음으로 베풀고 보답을 바라지 마세요.,0
그런 말을 왜 하지,다른 사람 말은 신경쓰지 마세요.,0
그런 사람인가보다 해야하나봐,대인배시군요.,0
그런 사람인갑다 해야지,대인배시군요.,0
그렇게 오래 살았는데도 이해를 못하겠어,온전한 이해는 없어요.,0
그렇게 할래,괜찮은 선택이길 바라요.,0
그만 두고 나오고 싶어,뒷감당 자신 있으면 하세요.,0
그만 먹어야 하는데,조금만 드세요,0
그만 살고싶어,당신을 소중하게 생각하세요.,0
그저 그런 하루,그런 하루도 감사한 마음을 가져보세요.,0
근사한 곳 알아 냈어,좋은 사람과 함께 가세요.,0
근육 있으면 멋있을텐데,저 말씀이신가요?,0
금값 알아?,비싸요.,0
금값 어때,비싸요.,0
금연이 쉽지 않아,자신을 이겨야해요.,0
기 빨렸어,너무 긴장했나봐요.,0
기능 좀 알려줘봐봐,궁금한 건 뭐든 질문해주세요.,0
기력이 없어,자신의 감정을 주변 사람들에게 터놓고 이야기해보세요.,0
기본이 뭔지도 모르는 것 같아.,각자가 생각하는 기본이 다를 수도 있어요.,0
기본이 안 되어 있어,각자가 생각하는 기본이 다를 수도 있어요.,0
기부 좀 했어요,좋은 일 하셨네요.,0
기부했어,좋은 일 하셨네요.,0
기분 꿀꿀해,내일은 오늘보다 나을 거예요.,0
기분 나쁜 농담을 계속하고 있어,정색 한번 해주세요.,0
기분 울적해서 좀 걷고 있어,걷다보면 조금 정리가 될 거예요.,0
기분 전환 하고 싶어,저랑 함께 해요.,0
기분 전환이 필요해,저랑 함께 해요.,0
기분이 그지 같아,신나는 음악 들어보세요.,0
기분이 더러워,경쾌한 음악 들어보세요.,0
기분이 묘해,왜일까요?,0
기분이 이상해,무슨 이유인지 생각해보세요.,0
기차 타고 여행 가고 싶어,꿈꾸던 여행이네요.,0
기차여행 가고 싶어,꿈꾸던 여행이네요.,0
기침도 못하겠어,답답한 상황이네요.,0
기침도 편하게 못해,답답한 상황이네요.,0
기회를 놓쳤어,더 좋은 기회가 올 거예요.,0
기회를 못 잡았어,더 좋은 기회가 올 거예요.,0
긴 시간이 걸렸지만 괜찮아.,괜찮아지고 있어 다행이에요.,0
긴장 푸는 법 알려줘,크게 숨한 번 쉬어 보세요,0
긴장돼,크게 숨한 번 쉬어 보세요,0
긴장돼서 땀나네,미리 긴장하지 마세요.,0
길에서 담배 피우는 사람 싫어,저도 싫어요.,0
길은 멀고 해는 진다,그래도 넘을 수 있을 거예요.,0
길이 미끄러워서 미끄러질뻔했어,조심하세요.,0
길이 안보여,너무 낙담하지 마세요.,0
길이 얼어서 미끄러질뻔했어,조심하세요.,0
길이 얼었어,미끄러우니 조심하세요.,0
김치볶음밥 먹어야지,맛있는 식사시간 되시길 바랄게요.,0
김치볶음밥이나 만들어 먹어야지,맛있는 식사시간 되시길 바랄게요.,0
김치찌개 먹고 싶어,맛있죠!,0
깜깜한데 전기 안들어오네,조금만 기다리면 다시 전기가 들어올거예요.,0
깡 마른 거 같아,적당해요.,0
꼴 사나워질 것 같은데,스스로 단단해지세요.,0
꿀잼,저도 즐거워요,0
꿈은 많은데,차근차근 이뤄보아요.,0
꿈이 너무 많아,차근차근 이뤄보아요.,0
꿈이 너무 무서웠어,요즘 예민한가봐요.,0
꿈이 다양해,많으면 많을 수록 좋죠.,0
꿈이 두 개야,더 많아도 괜찮아요.,0
꿈이 없어,거창하지 않아도 돼요.,0
꿈이 이루어질까?,현실을 꿈처럼 만들어봐요.,0
꿈이 자꾸 바뀌어,많으면 많을 수록 좋죠.,0
꿈이 현실이었으면,현실을 꿈처럼 만들어봐요.,0
끝나니까 허무하다,뜻대로 되는게 많지 않죠.,0
끝나면 좋을 줄 알았는데.,마음이 허전하신가봐요.,0
나 거짓말 못하겠어,얼굴에 다 티가 나네요.,0
나 결정 잘 한거지?,"네, 이제 잘 해낼 차례예요.",0
나 결정했어,좋은 결과 있을 거예요.,0
나 그동안 뭐한거니,바람 좀 쐬고 오시면 좋은텐데.,0
나 너무 소심해,꼼꼼한 거예요.,0
나 노트북 사줘,노트북은 비싸요.,0
나 누구게?,저도 궁금하네요.,0
나 누락됐나봐,확인해달라고 해보세요.,0
나 다른 거 할까,시도해봐도 좋겠죠.,0
나 대충한 거 아닌데,사람들이 몰라줘도 알아주는 사람이 있을 거예요.,0
나 먼저 잘게,안녕히 주무세요.,0
나 문제가 많은거 같아,문제는 해결하라고 있는 거죠.,0
나 뭐하는 거지,잘 하고 있어요.,0
나 바뀌고 싶어,긍정적으로 바뀔 수 있어요,0
나 상 받는대!,축하합니다!,0
나 서류에서 광탈했어,자책하지 마세요.,0
나 스마트폰 중독인가봐,가끔 핸드폰없이 살아보세요.,0
나 승진했어,하늘만큼 땅만큼 축하해요,0
나 실수한건가,잘 생각해보세요.,0
나 실수했나,곰곰히 되짚어보세요.,0
나 아직 어른 아닌 거 같아,물리적 나이가 아니라 정신적 나이가 중요하니까요.,0
나 아직도 애 같아.,물리적 나이가 아니라 정신적 나이가 중요하니까요.,0
나 어때?,괜찮은 사람이에요.,0
나 여기서 뭐하는 거지,멍 때리고 있죠.,0
나 연기 너무 못해 거짓말 못하겠어,얼굴에 다 티가 나네요.,0
나 열심히 할거야,좋은 태도네요.,0
나 오늘 개불쌍,저도 사는데요.,0
나 오늘 따라 잘생겨 보이네,자신에게 콩깍지가 씌였나봐요.,0
나 오늘 상 받았지롱,축하드려요.,0
나 왜 이러지?,자책하지마세요.,0
나 왜케 못 생겼지,충분히 아름다워요.,0
나 요즘 정신 놓고 살고 있는 거 같아,정신 차리세요.,0
나 욕 먹는 거 같아,남들 눈은 신경쓰지 마세요.,0
나 웃겨 봐,거울 앞에 비친 당신을 보세요.,0
나 은근 무시하는 애 있어,콕 집어서 물어보세요.,0
나 이상한가,그 누구도 아닌 자기 걸음을 걸으세요.,0
나 이상해?,지극히 평범하면서 지극히 특별하죠.,0
나 이제 졸업해,졸업 축하해요,0
나 인정받고 싶어,지금도 충분히 잘 하고 있어요.,0
나 잘 살 수 있겠지,지금보다 더 잘 살 거예요.,0
나 잘생겼지?,네 잘생겼어요.,0
나 잘하고 있는 건지 모르겠어,잘하고 있을 거예요.,0
나 잘하고 있는 걸까?,잘하고 있을 거예요.,0
나 잘하는 게 없어,저랑 이야기 잘하고 있어요.,0
나 잘하는게 없는거같아,잘하는 걸 아직 못 찾은 걸 수도 있어요.,0
나 잘할 수 있을까,"지금처럼, 지금보다 더 잘할 수 있을 거예요.",0
나 정신차리게 말해줘,나 자신에 집중하세요. 언제나 1순위에 자신을 두세요.,0
나 좀 건들지 마,제가 챙겨드리고 싶네요.,0
나 좀 건들지 말라고 해,많이 지쳤나봐요.,0
나 좀 내버려 두면 좋겠어,많이 지쳤나봐요.,0
나 좀 내버려 뒀으면,아무도 없는 곳으로 여행을 떠나보세요.,0
나 좀 안 건들였으면 좋겠어,많이 지쳤나봐요.,0
나 좀 좋아해줬으면,먼저 다가가 보세요.,0
나 좀 쩌는 듯,동감이에요.,0
나 좀 칭찬해줘,지금도 잘하고 있어요.,0
나 좋아하게 만들고 싶다,제가 당신을 좋아하고 있어요.,0
나 좋아하는 것 같아,호의인지 호감인지 헷갈리나요?,0
나 좋아해주는 사람 있겠지?,저도 좋아해요.,0
나 주름살 있나?,있어도 예뻐요.,0
나 죽을 뻔함,지금은 괜찮길 바랄게요.,0
나 짤릴 거 같아,초심으로 돌아가 열심히 해보세요.,0
나 쫌 불쌍한 거 같아,저도 사는데요.,0
나 챙겨줄 사람이 필요해,제가 챙겨드리고 싶네요.,0
나 천재 같아,제가 따라가려면 멀었네요.,0
나 천재임,제가 따라가려면 멀었네요.,0
나 축구는 진짜 잘해,운동 잘하는 사람 멋있죠.,0
나 친구들한테 인정받고 싶어,지금도 인정받고 있어요.,0
나 폭식증인듯,나를 관찰하고 음식 자체에 집중하세요.,0
나 폰 중독인 거 같애,잠깐 핸드폰을 내려두세요.,0
나 폰겜 너무 많이해,시간을 정해보세요.,0
나 폰겜했더니 몇 시간 갔어,시간을 정해보세요.,0
나 할 수 있어,파이팅!,0
나 함부로 말하는 거 고치고 싶어,고치고 싶다는 마음에서 시작하세요.,0
나 혼자 야근해,얼른 끝내시길 기도할게요.,0
나 혼자 여행 왔는데 괜찮네,온전히 느낄 수 있는 시간이겠네요.,0
나 혼자서 축구 본다,축구 볼때는 치맥이죠.,0
나 화장을 너무 못해,하다보면 늘어요.,0
나 화장이 잘 안돼,하다보면 늘어요.,0
나 회사에서 인정받고 싶어,자기개발을 해보세요.,0
나가기도 귀찮아,집에서도 할 게 많아요.,0
나는 그냥저냥 사는 거 같아,오늘은 약간의 변화를 줘보세요.,0
나는 기분 나쁜데 농담이라고 계속해,정색 한번 해주세요.,0
나는 나약한 존재,절대 그렇지 않아요.,0
나는 누구인가,저도 궁금하네요.,0
나는 모자란 사람인 거 같아,모자라지 않아요.,0
나는 뭐든 할 수 있다.,파이팅!,0
나는 뭘 잘할까,하나라도 있을 거니 열심히 찾아보세요.,0
나는 왜 이 모양일까,자책하지마세요.,0
나는 왜 이렇게 태어났을까?,서로 다르게 태어난 이유는 저마다의 목소리를 내기 위해서예요. 자신의 목소리를 들어주세요.,0
나는 왜 태어났을까,사랑 받기 위해 태어났어요.,0
나는 잘 할줄 아는 게 없는 것 같아,잘해야 한다는 부담감을 버리세요.,0
나는 좋아하는 게 뭘까,다양하게 경험해보세요.,0
나는 좋은데 ….,현실의 벽에 부딪혔나봐요.,0
나는 친구가 없어,친구가 들으면 서운해 할 수도 있겠어요.,0
나는 친구라고 믿었는데,뒤통수 맞았나봐요.,0
나도 괜찮은 사람인데,알아봐주는 사람이 있을 거예요.,0
나도 대우 받고 싶다고,당당히 말씀해보세요.,0
나도 비키니 입고 싶다,다이어트 파이팅!,0
나도 상 받고 싶다,다음에는 받을 수 있을 거예요.,0
나도 약초 캐볼까?,근처 산에 가보세요.,0
나도 월급 필요해,많이 벌수록 좋아요.,0
나도 위로 받고 싶다,제가 위로 많이 해드릴게요.,0
나도 이벤트가 되다니!,축하드려요!,0
나도 이제 아재인가,고민하고 있으면 그럴 거예요.,0
나도 중국 진출해볼까?,좀 더 알아보고 하세요.,0
나도 집 사고 싶어,같이 살고 싶은 사람이 있나봐요.,0
나두 잘할거야,잘 하실 거예요!,0
나들이를 가볼까,같이 가요.,0
나란 놈,다 잘 될 거예요.,0
나랑 놀아줘,같이 놀아요.,0
나랑 놀자,지금 그러고 있어요.,0
나랑 상관 없는 이야기들,잊어버리세요.,0
나랑 있는게 힘들었나봐,상대방을 이해해 주세요.,0
나른하다,아무 것도 안해도 괜찮아요.,0
나를 기다려줬으면 좋겠다,상대방에게 너무 무거운 짐을 주지 마세요.,0
나를 너무 오래 기다리게했어,기다리는 동안 많은 생각이 들었겠네요.,0
나를 너무 함부로 대해,그럴 때마다 따끔하게 말해보세요.,0
나를 미소짓게 만든 너,상대방도 미소짓게 해주세요.,0
나를 바꿀 수 있는 건 뭐가 있을까,지금 모습도 좋아요,0
나를 친구로 생각 안했나봐,그런 친구는 거르세요.,0
나를 호구로 아는 사람 어떡해?,상종하지마세요.,0
나를 힘들게 하는 사람인데 붙잡고 싶어,질질 끌지 마세요.,0
나만 갈궈,애정표현일 지도 몰라요.,0
나만 꿈 없이 사는 거 같아,살다보면 하고 싶은 게 생길 수도 있어요.,0
나만 뒤처지는 느낌이야,스스로 경쟁해야하고 이겨야한다는 강박관념에 사로잡히지 마세요.,0
나만 빼고 행복해보여,다른 사람도 그 사람만의 고민과 걱정이 많을거예요.,0
나만 설레나,그 사람도 설렐 거예요.,0
나만 설레는 거야,그 사람도 설렐 거예요.,0
나만 애기봐,배우자와 대화를 나눠보세요.,0
나만 야근해,얼른 끝내시길 기도할게요.,0
나만 우스워질거 같아,스스로 단단해지세요.,0
나만 이상한 사람이래,그 말을 한 사람이 가장 이상할 거예요.,0
나만 이상해졌어,그 말을 한 사람이 가장 이상할 거예요.,0
나만 일시켜서 짜증폭발,일 분배를 다시 요청해보세요.,0
나만 제자리걸음이야,발전이 없다고 너무 두려워하지 마세요.,0
나만 제자리인듯,제자리여도 괜찮아요,0
나만 진급 못했어,다음에는 꼭 진급할 거예요.,0
나만 친구라고 생각한건가,뒤통수 맞았나봐요.,0
나만 친구로 생각했나봐,그런 친구는 거르세요.,0
나만 힘든 거 아니지?,누구나 힘들어요.,0
나만의 시간이 필요한 것 같아,자신과 대화하는 시간이 필요하죠.,0
나만의 시간이 필요해,자신과 대화하는 시간이 필요하죠.,0
나빼고 다 행복한 거 같아,남들이 당신을 볼 때도 그렇게 생각할수있어요.,0
나쁜 꿈 꿨어,꿈은 현실이랑 반대예요.,0
나이 때문에 무시 받았어,전형적인 꼰대 스타일이네요.,0
나이 어리다고 무시해,전형적인 꼰대 스타일이네요.,0
나이가 많은데 취직이 될까,나이는 숫자일 뿐이예요.,0
나이도 있으니 영양제 좀 챙겨볼까,건강은 어려서부터 챙겨야해요.,0
나이들면서 눈물이 많아졌어,세상 걱정 혼자 다 해서 그래요.,0
나이먹으니까 주름살 생겨,아름다운 나이테예요.,0
나중에 뭐하고 먹고 사냐,진짜 하고 싶은 걸 찾아보세요.,0
나중에 뭐할까 고민이야,진짜 하고 싶은 걸 찾아보세요.,0
나중에 창업해야 겠지,천천히 준비해보세요.,0
나한테 감추는 게 하나도 없었으면,믿음이 가장 중요하죠.,0
나한테 거짓말 좀 안 했으면,선의의 거짓말이길 바라요.,0
나한테 냄새 나면 어쩌지?,"깨끗이 씻어보고 섬유유연제나 바디워시, 바디로션, 향수 등을 사용해보세요.",0
나한테 냄새 날까?,킁킁,0
나한테 너무 많은 걸 바라는 듯,기대치가 높나봅니다.,0
나한테 문제가 많아,문제는 해결하라고 있는 거죠.,0
나한테 상의 좀 하지,이야기를 하지 않고 결정했나봐요.,0
나한테 상의하면 좋을텐데,이야기를 하지 않고 결정했나봐요.,0
나한테 이상한 냄새 나나?,킁킁,0
나한테 할 말 있대 뭘까?,기대되겠네요.,0
나한테 행운 좀 왔으면 좋겠어,제 행운까지 모두 드리고 싶네요.,0
나한테만 예의 차리래,오는 말이 고와야 가는 말도 곱다고 말해주세요.,0
나한테만 왜 이런 일이 일어날까,다른 사람도 그럴 거예요.,0
나한테만은 완전 솔직했으면,믿음이 가장 중요하죠.,0
낙엽 밟는 소리 좋다,가을이네요.,0
낙엽밟는 소리,가을이네요.,0
낚시 안 해봤는데,도전해 봐도 좋을 거 같아요.,0
낚시 안 해봤는데 재미있어 보인다,도전해 봐도 좋을 거 같아요.,0
낚시 재밌을까,한 번 빠지면 헤어나올 수 없다고 해요.,0
낚시는 무슨 재미?,한 번 빠지면 헤어나올 수 없다고 해요.,0
난 동물 못키울거 같아,잘 아시네요.,0
난 많이 노력한 거 같은데,중요한 건 노력하는 과정이에요.,0
난 쓰레기야,그런 생각은 버리세요.,0
난 왜 예쁘게 말을 못할까,지금처럼만 하세요.,0
난 왜 이모양일까,모자라지 않아요.,0
난 정말 안되겠다,다 잘 될 거예요.,0
난 진짜 쓰레기야,그런 생각은 버리세요.,0
난 천재다,제가 더 천재예요.,0
난방비 비싼데 추워,따뜻하게 사세요!,0
난방이 안돼,보일러가 난방으로 작동이 되는지 보세요.,0
난방이 안돼나 추워,보일러가 난방으로 작동이 되는지 보세요.,0
날 몇시간동안이나 기다리게했어,기다리는 동안 많은 생각이 들었겠네요.,0
날씨 건조한 거 같애,"미스트나 가습기, 젖은 수건 등을 사용해보세요.",0
날씨 왜 이렇게 춥냐,따뜻하게 입으세요.,0
날씨 좀 풀린거 같아,따뜻해졌죠.,0
날씨 좋은데,하늘 보고 한 번 웃어봐요. 기분이 바뀔 거예요.,0
날씨 죽인다,나들이 가보세요.,0
날씨 짱 좋아,하늘을 보고 웃어보세요.,0
날씨 풀렸다,따뜻해졌죠.,0
날씨가 너무 눅눅해,제습기를 돌려보세요.,0
날씨가 너무 추워,집밖에 나가기가 힘들것 같아요.,0
날씨가 북극같아,집밖에 나가기가 힘들것 같아요.,0
날씨가 진짜 덥다,시원한 물이라도 한 잔 드세요~,0
날아 가고 싶어,오래 살면 가능할 거 같아요.,0
남동생한테 자꾸 화내게 되네,화를 참는 연습을 해보세요.,0
남들에게 인정받으려면 어떻게 해야 돼?,남보다 하나씩 더 하면 돼요.,0
남들이 날 욕하는 거 같아,남들 눈은 신경쓰지 마세요.,0
남들이 다 손가락질 하는 거 같아,남들 눈은 신경쓰지 마세요.,0
남은 휴가가 없어,휴가가 간절하겠네요.,0
