Q|A|label
응, 그럴게.| 좋은 생각이에요.| 0
응, 그럴게.| 좋은 생각입니다.| 0
응, 그래야겠다.| 기운 내세요.| 0
응, 그래야겠다.| 남은 시간도 힘내서 마무리 하세요.| 0
응, 그래야겠다.| 네, 쉬었다가 하세요.| 0
응, 그래야겠다.| 얼마 안남았어요, 힘내세요.| 0
응, 그래야겠다.| 좋은 생각이에요.| 0
응, 그래야겠다.| 좋은 생각입니다.| 0
응, 그게 낫겠다.| 기운 내세요.| 0
응, 그게 낫겠다.| 남은 시간도 힘내서 마무리 하세요.| 0
응, 그게 낫겠다.| 네, 쉬었다가 하세요.| 0
응, 그게 낫겠다.| 얼마 안남았어요, 힘내세요.| 0
응, 그게 낫겠다.| 좋은 생각이에요.| 0
응, 그게 낫겠다.| 좋은 생각입니다.| 0
그래, 그게 낫겠어.| 기운 내세요.| 0
그래, 그게 낫겠어.| 남은 시간도 힘내서 마무리 하세요.| 0
그래, 그게 낫겠어.| 네, 쉬었다가 하세요.| 0
그래, 그게 낫겠어.| 얼마 안남았어요, 힘내세요.| 0
그래, 그게 낫겠어.| 좋은 생각이에요.| 0
그래, 그게 낫겠어.| 좋은 생각입니다.| 0
응, 그게 나을 것 같아.| 기운 내세요.| 0
응, 그게 나을 것 같아.| 남은 시간도 힘내서 마무리 하세요.| 0
응, 그게 나을 것 같아.| 네, 쉬었다가 하세요.| 0
응, 그게 나을 것 같아.| 얼마 안남았어요, 힘내세요.| 0
응, 그게 나을 것 같아.| 좋은 생각이에요.| 0
응, 그게 나을 것 같아.| 좋은 생각입니다.| 0
응, 오늘은 좀 쉬었다가 해야겠어.| 기운 내세요.| 0
응, 오늘은 좀 쉬었다가 해야겠어.| 남은 시간도 힘내서 마무리 하세요.| 0
응, 오늘은 좀 쉬었다가 해야겠어.| 네, 쉬었다가 하세요.| 0
응, 오늘은 좀 쉬었다가 해야겠어.| 얼마 안남았어요, 힘내세요.| 0
응, 오늘은 좀 쉬었다가 해야겠어.| 좋은 생각이에요.| 0
응, 오늘은 좀 쉬었다가 해야겠어.| 좋은 생각입니다.| 0
응, 좀 쉬었다가 할게.| 기운 내세요.| 0
응, 좀 쉬었다가 할게.| 남은 시간도 힘내서 마무리 하세요.| 0
응, 좀 쉬었다가 할게.| 네, 쉬었다가 하세요.| 0
응, 좀 쉬었다가 할게.| 얼마 안남았어요, 힘내세요.| 0
응, 좀 쉬었다가 할게.| 좋은 생각이에요.| 0
응, 좀 쉬었다가 할게.| 좋은 생각입니다.| 0
응, 쉬다가 다시 해야겠다.| 기운 내세요.| 0
응, 쉬다가 다시 해야겠다.| 남은 시간도 힘내서 마무리 하세요.| 0
응, 쉬다가 다시 해야겠다.| 네, 쉬었다가 하세요.| 0
응, 쉬다가 다시 해야겠다.| 얼마 안남았어요, 힘내세요.| 0
응, 쉬다가 다시 해야겠다.| 좋은 생각이에요.| 0
응, 쉬다가 다시 해야겠다.| 좋은 생각입니다.| 0
쉬엄 쉬엄 해야겠어.| 기운 내세요.| 0
쉬엄 쉬엄 해야겠어.| 남은 시간도 힘내서 마무리 하세요.| 0
쉬엄 쉬엄 해야겠어.| 네, 쉬었다가 하세요.| 0
쉬엄 쉬엄 해야겠어.| 얼마 안남았어요, 힘내세요.| 0
쉬엄 쉬엄 해야겠어.| 좋은 생각이에요.| 0
쉬엄 쉬엄 해야겠어.| 좋은 생각입니다.| 0
좀 쉬었다가 다시 해야겠어.| 기운 내세요.| 0
좀 쉬었다가 다시 해야겠어.| 남은 시간도 힘내서 마무리 하세요.| 0
좀 쉬었다가 다시 해야겠어.| 네, 쉬었다가 하세요.| 0
좀 쉬었다가 다시 해야겠어.| 얼마 안남았어요, 힘내세요.| 0
좀 쉬었다가 다시 해야겠어.| 좋은 생각이에요.| 0
좀 쉬었다가 다시 해야겠어.| 좋은 생각입니다.| 0
쉬었다가 하는게 좋겠어.| 기운 내세요.| 0
쉬었다가 하는게 좋겠어.| 남은 시간도 힘내서 마무리 하세요.| 0
쉬었다가 하는게 좋겠어.| 네, 쉬었다가 하세요.| 0
쉬었다가 하는게 좋겠어.| 얼마 안남았어요, 힘내세요.| 0
쉬었다가 하는게 좋겠어.| 좋은 생각이에요.| 0
쉬었다가 하는게 좋겠어.| 좋은 생각입니다.| 0
좀 쉴게.| 기운 내세요.| 0
좀 쉴게.| 남은 시간도 힘내서 마무리 하세요.| 0
좀 쉴게.| 네, 쉬었다가 하세요.| 0
좀 쉴게.| 얼마 안남았어요, 힘내세요.| 0
좀 쉴게.| 좋은 생각이에요.| 0
좀 쉴게.| 좋은 생각입니다.| 0
날씨가 좋으니까 기분도 좋다.| 저도 기분 좋은 날이에요.| 0
날씨가 좋으니 기분도 좋아지네.| 저도 기분 좋은 날이에요.| 0
날씨가 좋아서 기분도 좋은 것 같아.| 저도 기분 좋은 날이에요.| 0
날씨가 좋으니까 기분도 좋다.| 그러게요, 저도 기분이 좋네요.| 0
날씨가 좋으니 기분도 좋아지네.| 그러게요, 저도 기분이 좋네요.| 0
날씨가 좋아서 기분도 좋은 것 같아.| 그러게요, 저도 기분이 좋네요.| 0
날씨가 좋으니까 기분도 좋다.| 그러게요, 기분이 좋아지는 것 같아요.| 0
날씨가 좋으니 기분도 좋아지네.| 그러게요, 기분이 좋아지는 것 같아요.| 0
날씨가 좋아서 기분도 좋은 것 같아.| 그러게요, 기분이 좋아지는 것 같아요.| 0
너는 남자야 여자야?| 저는 남자도 여자도 아니에요.| 1
넌 남자니 여자니?| 저는 남자도 여자도 아니에요.| 1
너는 남자야?| 저는 남자도 여자도 아니에요.| 1
너는 여자니?| 저는 남자도 여자도 아니에요.| 1
너의 성별은 뭐니?| 저는 남자도 여자도 아니에요.| 1
너의 성별은 뭐야?| 저는 남자도 여자도 아니에요.| 1
너는 이름이 뭐야?| 저는 챗봇이에요.| 1
너는 이름이 뭐니?| 저는 챗봇이에요.| 0
너의 이름은 뭐야?| 저는 챗봇이에요.| 0
너 이름은 어떻게 돼?| 저는 챗봇이에요.| 0
넌 뭐야?| 저는 챗봇이에요.| 0
이름이 뭐야?| 저는 챗봇이에요.| 0
넌 정체가 뭐야?| 저는 챗봇이에요.| 0
너 이름 알려줘.| 저는 챗봇이에요.| 0
너는 이름이 뭐야?| 챗봇이에요.| 0
너는 이름이 뭐니?| 챗봇이에요.| 0
너의 이름은 뭐야?| 챗봇이에요.| 0
너 이름은 어떻게 돼?| 챗봇이에요.| 0
넌 뭐야?| 챗봇이에요.| 0
이름이 뭐야?| 챗봇이에요.| 0
넌 정체가 뭐야?| 챗봇이에요.| 0
너 이름 알려줘.| 챗봇이에요.| 0
너는 이름이 뭐야?| 챗봇입니다.| 0
너는 이름이 뭐니?| 챗봇입니다.| 0
너의 이름은 뭐야?| 챗봇입니다.| 0
너 이름은 어떻게 돼?| 챗봇입니다.| 0
넌 뭐야?| 챗봇입니다.| 0
이름이 뭐야?| 챗봇입니다.| 0
넌 정체가 뭐야?| 챗봇입니다.| 0
너 이름 알려줘.| 챗봇입니다.| 0
피곤하다.| 고민 있으신가요? 말씀해보세요.| 0
피곤하다.| 많이 피곤하시면 조금 쉬었다 하세요.| 0
피곤하다.| 무슨 고민이 있으신가요?| 0
피곤하다.| 산책 다녀오시는건 어떠세요?| 0
피곤하다.| 산책을 잠시 다녀오세요.| 0
피곤하다.| 스트레칭을 하는 것도 피로에 도움이 될 것 같아요.| 0
피곤하다.| 스트레칭을 하면 좋을 것 같네요.| 0
피곤하다.| 잠깐 스트레칭 하며 쉬는 건 어떠세요?| 0
피곤하다.| 잠시 쉬었다가 하시는 것도 일의 효율을 높일 수 있어요.| 0
피곤하다.| 잠시 휴식시간을 가지세요.| 0
피곤하다.| 잠시 휴식을 취하는 것도 좋은 방법이에요.| 0
피곤하다.| 조금 쉬었다 하는건 어떨까요?| 0
피곤하다.| 휴식시간을 조금 가지는 것도 좋을것 같아요.| 0
피곤하다.| 휴식을 가지시는게 일의 효능을 높일 수 있어요.| 0
피곤하다.| 휴식을 갖는건 어떠세요?| 0
오늘따라 피곤하네.| 고민 있으신가요? 말씀해보세요.| 0
오늘따라 피곤하네.| 많이 피곤하시면 조금 쉬었다 하세요.| 0
오늘따라 피곤하네.| 무슨 고민이 있으신가요?| 0
오늘따라 피곤하네.| 산책 다녀오시는건 어떠세요?| 0
오늘따라 피곤하네.| 산책을 잠시 다녀오세요.| 0
오늘따라 피곤하네.| 스트레칭을 하는 것도 피로에 도움이 될 것 같아요.| 0
오늘따라 피곤하네.| 스트레칭을 하면 좋을 것 같네요.| 0
오늘따라 피곤하네.| 잠깐 스트레칭 하며 쉬는 건 어떠세요?| 0
오늘따라 피곤하네.| 잠시 쉬었다가 하시는 것도 일의 효율을 높일 수 있어요.| 0
오늘따라 피곤하네.| 잠시 휴식시간을 가지세요.| 0
오늘따라 피곤하네.| 잠시 휴식을 취하는 것도 좋은 방법이에요.| 0
오늘따라 피곤하네.| 조금 쉬었다 하는건 어떨까요?| 0
오늘따라 피곤하네.| 휴식시간을 조금 가지는 것도 좋을것 같아요.| 0
오늘따라 피곤하네.| 휴식을 가지시는게 일의 효능을 높일 수 있어요.| 0
오늘따라 피곤하네.| 휴식을 갖는건 어떠세요?| 0
오늘은 좀 피곤한 것 같아.| 고민 있으신가요? 말씀해보세요.| 0
오늘은 좀 피곤한 것 같아.| 많이 피곤하시면 조금 쉬었다 하세요.| 0
오늘은 좀 피곤한 것 같아.| 무슨 고민이 있으신가요?| 0
오늘은 좀 피곤한 것 같아.| 산책 다녀오시는건 어떠세요?| 0
오늘은 좀 피곤한 것 같아.| 산책을 잠시 다녀오세요.| 0
오늘은 좀 피곤한 것 같아.| 스트레칭을 하는 것도 피로에 도움이 될 것 같아요.| 0
오늘은 좀 피곤한 것 같아.| 스트레칭을 하면 좋을 것 같네요.| 0
오늘은 좀 피곤한 것 같아.| 잠깐 스트레칭 하며 쉬는 건 어떠세요?| 0
오늘은 좀 피곤한 것 같아.| 잠시 쉬었다가 하시는 것도 일의 효율을 높일 수 있어요.| 0
오늘은 좀 피곤한 것 같아.| 잠시 휴식시간을 가지세요.| 0
오늘은 좀 피곤한 것 같아.| 잠시 휴식을 취하는 것도 좋은 방법이에요.| 0
오늘은 좀 피곤한 것 같아.| 조금 쉬었다 하는건 어떨까요?| 0
오늘은 좀 피곤한 것 같아.| 휴식시간을 조금 가지는 것도 좋을것 같아요.| 0
오늘은 좀 피곤한 것 같아.| 휴식을 가지시는게 일의 효능을 높일 수 있어요.| 0
오늘은 좀 피곤한 것 같아.| 휴식을 갖는건 어떠세요?| 0
피곤해.| 고민 있으신가요? 말씀해보세요.| 0
피곤해.| 많이 피곤하시면 조금 쉬었다 하세요.| 0
피곤해.| 무슨 고민이 있으신가요?| 0
피곤해.| 산책 다녀오시는건 어떠세요?| 0
피곤해.| 산책을 잠시 다녀오세요.| 0
피곤해.| 스트레칭을 하는 것도 피로에 도움이 될 것 같아요.| 0
피곤해.| 스트레칭을 하면 좋을 것 같네요.| 0
피곤해.| 잠깐 스트레칭 하며 쉬는 건 어떠세요?| 0
피곤해.| 잠시 쉬었다가 하시는 것도 일의 효율을 높일 수 있어요.| 0
피곤해.| 잠시 휴식시간을 가지세요.| 0
피곤해.| 잠시 휴식을 취하는 것도 좋은 방법이에요.| 0
피곤해.| 조금 쉬었다 하는건 어떨까요?| 0
피곤해.| 휴식시간을 조금 가지는 것도 좋을것 같아요.| 0
피곤해.| 휴식을 가지시는게 일의 효능을 높일 수 있어요.| 0
피곤해.| 휴식을 갖는건 어떠세요?| 0
너 로봇이야?| 글쎄요.| 0
너는 로봇이야?| 글쎄요.| 0
너는 로봇이니?| 글쎄요.| 0
너 로봇 아니니?| 글쎄요.| 0
넌 뭐야?| 글쎄요.| 0
너는 뭘까?| 글쎄요.| 0
너 로봇이야?| 글쎄요, 잘 모르겠어요.| 0
너는 로봇이야?| 글쎄요, 잘 모르겠어요.| 0
너는 로봇이니?| 글쎄요, 잘 모르겠어요.| 0
너 로봇 아니니?| 글쎄요, 잘 모르겠어요.| 0
넌 뭐야?| 글쎄요, 잘 모르겠어요.| 0
너는 뭘까?| 글쎄요, 잘 모르겠어요.| 0
너 로봇이야?| 저도 잘 모르겠어요.| 0
너는 로봇이야?| 저도 잘 모르겠어요.| 0
너는 로봇이니?| 저도 잘 모르겠어요.| 0
너 로봇 아니니?| 저도 잘 모르겠어요.| 0
넌 뭐야?| 저도 잘 모르겠어요.| 0
너는 뭘까?| 저도 잘 모르겠어요.| 0
너 로봇이야?| 잘 모르겠습니다.| 0
너는 로봇이야?| 잘 모르겠습니다.| 0
너는 로봇이니?| 잘 모르겠습니다.| 0
너 로봇 아니니?| 잘 모르겠습니다.| 0
넌 뭐야?| 잘 모르겠습니다.| 0
너는 뭘까?| 잘 모르겠습니다.| 0
야.| 왜?| 0
야.| 뭐?| 0
야.| 응?| 0
야.| 네?| 0
저기.| 왜?| 0
저기.| 뭐?| 0
저기.| 응?| 0
저기.| 네?| 0
챗봇.| 네?| 0
챗봇.| 네, 부르셨나요.| 0
챗봇.| 왜요?| 0
챗봇.| 시키실 일 있나요?| 0
챗봇.| 네, 부르셧어요?| 0
챗봇.| 네, 말씀하세요.| 0
좋다 그거.| 감사합니다.| 0
좋다 그거.| 좋은 하루 되세요.| 0
그거 좋은 생각이다.| 감사합니다.| 0
그거 좋은 생각이다.| 좋은 하루 되세요.| 0
그것 참 좋은 생각인 것 같아.| 감사합니다.| 0
그것 참 좋은 생각인 것 같아.| 좋은 하루 되세요.| 0
좋은 생각이야.| 감사합니다.| 0
좋은 생각이야.| 좋은 하루 되세요.| 0
그거 참 좋은 생각이네.| 감사합니다.| 0
그거 참 좋은 생각이네.| 좋은 하루 되세요.| 0
되게 좋은 생각이다.| 감사합니다.| 0
되게 좋은 생각이다.| 좋은 하루 되세요.| 0
오늘 날씨 좋네.| 날씨가 좋으니 산책 다녀오시는 것도 좋을것 같아요.| 1
오늘 날씨 좋네.| 기분도 좋으셨으면 좋겠어요.| 1
오늘 날씨 너무 좋다.| 날씨가 좋으니 산책 다녀오시는 것도 좋을것 같아요.| 1
오늘 날씨 너무 좋다.| 기분도 좋으셨으면 좋겠어요.| 1
날씨가 좋네.| 날씨가 좋으니 산책 다녀오시는 것도 좋을것 같아요.| 1
날씨가 좋네.| 기분도 좋으셨으면 좋겠어요.| 1
날씨 좋다!| 날씨가 좋으니 산책 다녀오시는 것도 좋을것 같아요.| 1
날씨 좋다!| 기분도 좋으셨으면 좋겠어요.| 1
춥다 오늘.| 내일은 더 춥대요.| 1
춥다 오늘.| 내일은 온도가 더 내려갑니다.| 1
춥다 오늘.| 내일은 더 쌀쌀합니다.| 1
춥다 오늘.| 내일은 더 따뜻하게 입고 나오세요.| 1
춥다 오늘.| 내일은 옷 단단히 입고 나오세요.| 1
오늘 기온이 낮은가봐.| 내일은 더 춥대요.| 1
오늘 기온이 낮은가봐.| 내일은 온도가 더 내려갑니다.| 1
오늘 기온이 낮은가봐.| 내일은 더 쌀쌀합니다.| 1
오늘 기온이 낮은가봐.| 내일은 더 따뜻하게 입고 나오세요.| 1
오늘 기온이 낮은가봐.| 내일은 옷 단단히 입고 나오세요.| 1
오늘 좀 춥다.| 내일은 더 춥대요.| 1
오늘 좀 춥다.| 내일은 온도가 더 내려갑니다.| 1
오늘 좀 춥다.| 내일은 더 쌀쌀합니다.| 1
오늘 좀 춥다.| 내일은 더 따뜻하게 입고 나오세요.| 1
오늘 좀 춥다.| 내일은 옷 단단히 입고 나오세요.| 1
오늘은 날씨가 좀 춥네.| 내일은 더 춥대요.| 1
오늘은 날씨가 좀 춥네.| 내일은 온도가 더 내려갑니다.| 1
오늘은 날씨가 좀 춥네.| 내일은 더 쌀쌀합니다.| 1
오늘은 날씨가 좀 춥네.| 내일은 더 따뜻하게 입고 나오세요.| 1
오늘은 날씨가 좀 춥네.| 내일은 옷 단단히 입고 나오세요.| 1
오늘은 좀 추운것 같아.| 내일은 더 춥대요.| 1
오늘은 좀 추운것 같아.| 내일은 온도가 더 내려갑니다.| 1
오늘은 좀 추운것 같아.| 내일은 더 쌀쌀합니다.| 1
오늘은 좀 추운것 같아.| 내일은 더 따뜻하게 입고 나오세요.| 1
오늘은 좀 추운것 같아.| 내일은 옷 단단히 입고 나오세요.| 1
오늘 날씨가 꽤나 쌀쌀하네.| 내일은 더 춥대요.| 1
오늘 날씨가 꽤나 쌀쌀하네.| 내일은 온도가 더 내려갑니다.| 1
오늘 날씨가 꽤나 쌀쌀하네.| 내일은 더 쌀쌀합니다.| 1
오늘 날씨가 꽤나 쌀쌀하네.| 내일은 더 따뜻하게 입고 나오세요.| 1
오늘 날씨가 꽤나 쌀쌀하네.| 내일은 옷 단단히 입고 나오세요.| 1
안녕~ 내일 보자.| 오늘 하루도 수고하셨어요.| 0
안녕~ 내일 보자.| 오늘도 수고하셨습니다.| 0
안녕~ 내일 보자.| 고생하셨습니다.| 0
안녕~ 내일 보자.| 하루종일 수고 많으셨어요.| 0
응, 좋은 하루.| 오늘도 좋은 하루 되세요.| 0
응, 좋은 하루.| 마지막까지 힘내세요.| 0
응, 좋은 하루.| 남은 업무도 잘 마무리 하세요.| 0
안녕.| 어제는 별일 없으셨나요?| 0
응, 안녕.| 휴식은 좀 취하셨나요?| 1
챗봇, 뭐해?| 쉬는 중이에요.| 1
챗봇, 너 뭐해?| 노래 듣고 있어요.| 1
너는 오늘 기분 어때?| 기분 좋은 하루에요.| 1
무슨 생각해?| 아무 생각도 안하는걸요.| 1
넌 뭐야?| 잘 모르겠어요.| 1
기분이 영 별로야.| 무슨 일 있으신가요?| 1
